map1,map2,analysis,r,p_spin,p_param,method,null_mean,null_std
tau_mean,axis_AP,raw,0.3506565425996506,0.000999000999000999,4.4899720725478343e-13,perm_nonspatial,0.0001293340848833434,0.04955042116394783
tau_mean,axis_DV,raw,-0.12940769442269662,0.012987012987012988,0.009391408949396324,perm_nonspatial,0.0015474239847586694,0.05025023318785494
tau_mean,axis_ML,raw,0.10861267630154273,0.02197802197802198,0.029455116417662457,perm_nonspatial,-0.0004782767351093768,0.048078448437188545
rho_mean,axis_AP,raw,0.2880136239527842,0.000999000999000999,4.0591413272256925e-09,perm_nonspatial,0.004050439251303245,0.050418521913911316
rho_mean,axis_DV,raw,-0.7307811911648973,0.000999000999000999,2.543470836291101e-68,perm_nonspatial,-0.0003673143721194033,0.04856458221002543
rho_mean,axis_ML,raw,-0.06207057446195999,0.2217782217782218,0.21429797497746747,perm_nonspatial,-3.5098173606020186e-05,0.05054621781344014
tau_mean,rho_mean,raw,-0.2680193520125467,0.000999000999000999,4.837053220942805e-08,perm_nonspatial,-0.0003219328442716766,0.05054721810962107
tau_resid_xyz,rho_resid_xyz,resid_xyz,-0.6500288481049146,0.000999000999000999,1.233101041263668e-49,perm_nonspatial,0.00013731753354290644,0.05047057502587339
tau_resid_xyz_var,rho_resid_xyz_var,resid_xyz_var,-0.6500288481049146,0.000999000999000999,1.233101041263668e-49,perm_nonspatial,0.00013731753354290644,0.05047057502587339
tau_resid_full,rho_resid_full,resid_xyz_var_rms,-0.6500288481049146,0.000999000999000999,1.233101041263668e-49,perm_nonspatial,0.00013731753354290644,0.05047057502587339
